date,Stock Name,negative,neutral,positive,sent_index,sent_roll5,next_ret
2022-06-15,META,0,1,0,0.0,-0.1484848484848485,-0.050073811632713294
2022-06-16,META,0,1,0,0.0,0.0181818181818181,0.017840492322993784
2022-06-17,META,0,2,0,0.0,-0.1818181818181818,-0.0408574569439355
2022-06-21,META,0,2,0,0.0,-0.2,-0.00764087870105068
2022-06-23,META,0,1,1,0.9090909090909092,-0.0181818181818181,0.07187401574803154
2022-07-01,META,1,0,0,-1.0,0.1818181818181818,0.05099043929263258
2022-07-07,META,1,1,0,-0.9090909090909092,-0.3818181818181818,-0.0076078750217782876
2022-07-08,META,0,1,0,0.0,-0.3818181818181818,-0.04681647940074907
2022-07-11,META,0,1,0,0.0,-0.1818181818181818,0.0023944007858547334
2022-07-15,META,0,1,0,0.0,-0.1818181818181818,0.015361262902246597
2022-07-18,META,0,1,0,0.0,0.0,0.051127190097470576
2022-07-19,META,0,1,0,0.0,0.0,0.04158607350096721
2022-07-20,META,1,0,0,-1.0,-0.2,0.0004369435796602872
2022-07-21,META,1,0,0,-1.0,-0.4,-0.07588578915761302
2022-07-22,META,0,1,0,0.0,-0.4,-0.015478230046671038
2022-07-26,META,0,1,0,0.0,-0.4,0.06553565818410312
2022-07-27,META,0,0,1,1.0,-0.2,-0.05224672720839729
2022-07-28,META,1,0,1,0.0,0.0,-0.010079641612742662
2022-08-01,META,1,0,0,-1.0,0.0,0.00162571124867128
2022-08-02,META,0,1,0,0.0,0.0,0.053748673450277895
2022-08-03,META,0,1,0,0.0,-0.2,0.010485781990521303
2022-08-05,META,0,1,0,0.0,-0.2,0.018790018550655097
2022-08-09,META,0,1,0,0.0,0.0,0.058209220910223625
2022-08-11,META,0,2,0,0.0,0.0,0.016958701898698525
2022-08-16,META,0,1,0,0.0,0.0,-0.025742463921546777
2022-08-17,META,0,1,0,0.0,0.0,-0.001086645696311117
2022-08-19,META,0,1,0,0.0,0.0,-0.029233150750178627
2022-08-23,META,0,1,0,0.0,0.0,0.013344919620135176
2022-08-24,META,0,0,1,1.0,0.2,0.033811098860712985
2022-08-25,META,0,3,0,0.0,0.2,-0.04147410830667142
2022-08-26,META,0,1,0,0.0,0.2,-0.016133020150822186
2022-09-02,META,0,1,0,0.0,0.2,-0.011102794411177674
2022-09-07,META,0,1,0,0.0,0.2,0.010412120456387619
2022-09-08,META,0,1,0,0.0,0.0,0.0437492286807355
2022-09-14,META,1,3,0,-0.7692307692307692,-0.1538461538461538,-0.012675777381659703
2022-09-15,META,0,1,0,0.0,-0.1538461538461538,-0.021798729521899207
2022-09-16,META,1,0,0,-1.0,-0.3538461538461538,0.011825825415271218
2022-09-19,META,1,0,0,-1.0,-0.7538461538461538,-0.013038778543440155
2022-09-20,META,0,1,0,0.0,-0.6,-0.02717502909165581
2022-09-21,META,2,0,0,-1.0,-0.8,0.004925415142133405
2022-09-22,META,2,1,0,-0.9523809523809524,-0.7904761904761906,-0.016874387340708563
2022-09-29,META,1,0,0,-1.0,-0.5904761904761905,-0.0053515138186349676
2021-09-30,MSFT,1,4,0,-0.7142857142857143,-0.7142857142857143,0.02542873392247791
2021-10-01,MSFT,1,6,1,0.0,-0.3571428571428571,-0.02069178834647012
2021-10-04,MSFT,2,10,0,-0.6666666666666666,-0.2761904761904762,0.01996725370392549
2021-10-05,MSFT,0,6,0,0.0,-0.1333333333333333,0.015045328188901141
2021-10-06,MSFT,1,6,0,-0.625,-0.2583333333333333,0.005929629915351287
2021-10-07,MSFT,0,4,0,0.0,-0.2583333333333333,0.0
2021-10-08,MSFT,0,3,1,0.7692307692307692,-0.1044871794871794,-0.0021124624828756655
2021-10-11,MSFT,0,1,0,0.0,0.1538461538461538,-0.004544771765823685
2021-10-12,MSFT,1,6,0,-0.625,0.0288461538461538,0.011685768628799664
2021-10-13,MSFT,1,3,0,-0.7692307692307692,-0.2788461538461538,0.021755719895106607
2021-10-14,MSFT,2,6,1,-0.2777777777777778,-0.3344017094017094,0.0047731562580628495
2021-10-15,MSFT,0,7,0,0.0,-0.3344017094017094,0.01017332837787599
2021-10-18,MSFT,0,7,0,0.0,-0.1888888888888888,0.003063739836310697
2021-10-19,MSFT,0,6,2,0.7692307692307692,0.0205128205128205,-0.0026742514930124806
2021-10-20,MSFT,0,6,0,0.0,0.0205128205128205,0.010882829870108246
2021-10-21,MSFT,3,3,0,-0.9090909090909092,-0.027972027972028,-0.0051430461385811865
2021-10-22,MSFT,2,10,0,-0.6666666666666666,-0.1613053613053613,-0.003311225253079475
2021-10-25,MSFT,1,11,2,0.2439024390243902,-0.2663710273466371,0.0063876130340663195
2021-10-26,MSFT,0,7,1,0.588235294117647,0.0330942132950741,0.04211935806757405
2021-10-27,MSFT,0,8,0,0.0,0.1664275466284074,0.0036638657600294167
2021-10-28,MSFT,13,29,2,-0.6145251396648045,0.0435225186954465,0.022403620070094554
2021-10-29,MSFT,10,20,2,-0.5714285714285714,-0.0707631955902677,-0.006775269337102152
2021-11-01,MSFT,1,8,2,0.2631578947368421,-0.1360743147864582,0.011396189204201379
2021-11-02,MSFT,0,6,1,0.625,0.1118307131465026,0.002625651784887939
2021-11-03,MSFT,0,7,0,0.0,0.2261164274322169,0.007330110382476773
2021-11-04,MSFT,1,4,1,0.0,0.3594497607655502,-0.0011333677518688967
2021-11-05,MSFT,1,10,1,0.0,0.1776315789473684,0.002749470902707163
2021-11-08,MSFT,1,10,3,0.4,0.3228571428571428,-0.003068279902766591
2021-11-09,MSFT,0,4,0,0.0,0.3228571428571428,-0.015330488122007657
2021-11-10,MSFT,1,10,1,0.0,0.3228571428571428,0.004924593138503797
2021-11-11,MSFT,0,2,2,0.9090909090909092,0.3618181818181818,0.012917428015792876
2021-11-12,MSFT,0,9,1,0.5263157894736842,0.3670813397129187,-0.0019382388581788978
2021-11-15,MSFT,0,7,0,0.0,0.2870813397129186,0.010214629551473786
2021-11-16,MSFT,0,13,1,0.4347826086956522,0.1922196796338672,0.0006841808901616453
2021-11-17,MSFT,1,4,1,0.0,0.0869565217391304,0.006347035831407277
2021-11-18,MSFT,2,16,0,-0.5555555555555556,-0.0241545893719806,0.005372077223234184
2021-11-19,MSFT,2,16,1,-0.2173913043478261,-0.0676328502415458,-0.009547502788301299
2021-11-22,MSFT,0,12,0,0.0,-0.0295893719806763,-0.006336795073058732
2021-11-23,MSFT,0,6,1,0.625,0.2065217391304347,0.000683597607104458
2021-11-24,MSFT,0,6,2,0.7692307692307692,0.4038461538461538,-0.02434677531985696
2021-11-26,MSFT,1,5,0,-0.6666666666666666,0.1455128205128205,0.02108935200888773
2021-11-29,MSFT,0,8,2,0.7142857142857143,-0.1,-0.01794748326852047
2021-11-30,MSFT,0,6,4,0.8695652173913044,0.0739130434782608,-0.0015485592812699567
2021-12-01,MSFT,1,6,1,0.0,0.2072463768115942,-0.0017871795509361021
2021-12-02,MSFT,1,3,0,-0.7692307692307692,0.220066889632107,-0.01967860356643547
2021-12-03,MSFT,0,10,0,0.0,0.1629240324892499,0.00986847329286844
2021-12-06,MSFT,0,7,0,0.0,-0.1538461538461538,0.02675280234503763
2021-12-07,MSFT,0,10,1,0.5,0.1,0.00015009771667662264
2021-12-08,MSFT,0,3,1,0.7692307692307692,0.2538461538461538,-0.0055895351650673275
2021-12-09,MSFT,1,6,0,-0.625,0.1288461538461538,0.028335766513283955
2021-12-10,MSFT,1,6,0,-0.625,0.0038461538461538,-0.009156039032221175
2021-12-13,MSFT,1,3,4,0.5660377358490566,-0.4463162623539983,-0.03259466599762417
2021-12-14,MSFT,0,1,1,0.9090909090909092,-0.1394980805358164,0.019225841931270526
2021-12-15,MSFT,0,6,3,0.8333333333333333,0.1521685861308502,-0.02913323788823108
2021-12-16,MSFT,0,11,2,0.6451612903225806,0.447867510862033,-0.0033945081594503046
2021-12-17,MSFT,1,3,1,0.0,0.5907246537191759,-0.01201154578550312
2021-12-20,MSFT,2,7,0,-0.7407407407407407,-0.019115890083632,0.023054819736901155
2021-12-21,MSFT,0,7,1,0.588235294117647,-0.0305010893246187,0.018065207782803627
2021-12-22,MSFT,2,5,0,-0.8,-0.1905010893246187,0.0044861965551430405
2021-12-23,MSFT,1,5,1,0.0,-0.1905010893246187,0.023170698063642137
2021-12-27,MSFT,1,10,0,-0.5,0.0,-0.003487222505168086
2021-12-28,MSFT,2,9,1,-0.2564102564102564,-0.0512820512820512,0.00203231256726788
2021-12-29,MSFT,3,6,3,0.0,-0.0512820512820512,-0.007677721705840468
2021-12-30,MSFT,0,13,0,0.0,-0.0512820512820512,-0.008831630601403462
2021-12-31,MSFT,0,13,0,0.0,-0.1512820512820512,-0.004679368681784646
2022-01-03,MSFT,2,10,4,0.2857142857142857,0.1904761904761904,-0.017150492816162433
2022-01-04,MSFT,0,7,4,0.851063829787234,0.3606889564336373,-0.038373267808364364
2022-01-05,MSFT,1,10,2,0.25,0.4106889564336373,-0.00792513278812923
2022-01-06,MSFT,2,3,0,-0.8695652173913044,0.103442579622043,0.000516437756176158
2022-01-07,MSFT,0,12,0,0.0,0.103442579622043,0.0007317869977130353
2022-01-10,MSFT,1,8,2,0.2631578947368421,-0.2751276183770463,0.00226557501207858
